Second;Timestamp_ms;Timestamp_ISO;Heart_Rate_bpm;RR_Interval_ms;Approximate_RMSSD;Approximate_SDNN;Approximate_Stress_Index
0;1760106285381;2025-10-10 17:24:45;72;833.3;125.0;66.7;120.0
1;1760106286381;2025-10-10 17:24:46;73;821.9;123.3;65.8;120.0
2;1760106287381;2025-10-10 17:24:47;74;810.8;121.6;64.9;120.0
3;1760106288381;2025-10-10 17:24:48;75;800.0;120.0;64.0;120.0
4;1760106289381;2025-10-10 17:24:49;75;800.0;120.0;64.0;120.0
5;1760106290381;2025-10-10 17:24:50;76;789.5;118.4;63.2;120.0
6;1760106291381;2025-10-10 17:24:51;76;789.5;118.4;63.2;120.0
7;1760106292381;2025-10-10 17:24:52;76;789.5;118.4;63.2;120.0
8;1760106293381;2025-10-10 17:24:53;76;789.5;118.4;63.2;120.0
9;1760106294381;2025-10-10 17:24:54;75;800.0;120.0;64.0;120.0
10;1760106295381;2025-10-10 17:24:55;75;800.0;120.0;64.0;120.0
11;1760106296381;2025-10-10 17:24:56;75;800.0;120.0;64.0;120.0
12;1760106297381;2025-10-10 17:24:57;74;810.8;121.6;64.9;120.0
13;1760106298381;2025-10-10 17:24:58;74;810.8;121.6;64.9;120.0
14;1760106299381;2025-10-10 17:24:59;74;810.8;121.6;64.9;120.0
15;1760106300381;2025-10-10 17:25:00;75;800.0;120.0;64.0;120.0
16;1760106301381;2025-10-10 17:25:01;75;800.0;120.0;64.0;120.0
17;1760106302381;2025-10-10 17:25:02;76;789.5;118.4;63.2;120.0
18;1760106303381;2025-10-10 17:25:03;77;779.2;116.9;62.3;120.0
19;1760106304381;2025-10-10 17:25:04;77;779.2;116.9;62.3;120.0
20;1760106305381;2025-10-10 17:25:05;77;779.2;116.9;62.3;120.0
21;1760106306381;2025-10-10 17:25:06;77;779.2;116.9;62.3;120.0
22;1760106307381;2025-10-10 17:25:07;77;779.2;116.9;62.3;120.0
23;1760106308381;2025-10-10 17:25:08;77;779.2;116.9;62.3;120.0
24;1760106309381;2025-10-10 17:25:09;77;779.2;116.9;62.3;120.0
25;1760106310381;2025-10-10 17:25:10;77;779.2;116.9;62.3;120.0
26;1760106311381;2025-10-10 17:25:11;76;789.5;118.4;63.2;120.0
27;1760106312381;2025-10-10 17:25:12;76;789.5;118.4;63.2;120.0
28;1760106313381;2025-10-10 17:25:13;76;789.5;118.4;63.2;120.0
29;1760106314381;2025-10-10 17:25:14;76;789.5;118.4;63.2;120.0
30;1760106315381;2025-10-10 17:25:15;77;779.2;116.9;62.3;120.0
31;1760106316381;2025-10-10 17:25:16;77;779.2;116.9;62.3;120.0
32;1760106317381;2025-10-10 17:25:17;78;769.2;115.4;61.5;120.0
33;1760106318381;2025-10-10 17:25:18;78;769.2;115.4;61.5;120.0
34;1760106319381;2025-10-10 17:25:19;78;769.2;115.4;61.5;120.0
35;1760106320381;2025-10-10 17:25:20;78;769.2;115.4;61.5;120.0
36;1760106321381;2025-10-10 17:25:21;78;769.2;115.4;61.5;120.0
37;1760106322381;2025-10-10 17:25:22;78;769.2;115.4;61.5;120.0
38;1760106323381;2025-10-10 17:25:23;78;769.2;115.4;61.5;120.0
39;1760106324381;2025-10-10 17:25:24;78;769.2;115.4;61.5;120.0
40;1760106325381;2025-10-10 17:25:25;78;769.2;115.4;61.5;120.0
41;1760106326381;2025-10-10 17:25:26;78;769.2;115.4;61.5;120.0
42;1760106327381;2025-10-10 17:25:27;77;779.2;116.9;62.3;120.0
43;1760106328381;2025-10-10 17:25:28;77;779.2;116.9;62.3;120.0
44;1760106329381;2025-10-10 17:25:29;77;779.2;116.9;62.3;120.0
45;1760106330381;2025-10-10 17:25:30;76;789.5;118.4;63.2;120.0
46;1760106331381;2025-10-10 17:25:31;76;789.5;118.4;63.2;120.0
47;1760106332381;2025-10-10 17:25:32;76;789.5;118.4;63.2;120.0
48;1760106333381;2025-10-10 17:25:33;76;789.5;118.4;63.2;120.0
49;1760106334381;2025-10-10 17:25:34;77;779.2;116.9;62.3;120.0
50;1760106335381;2025-10-10 17:25:35;77;779.2;116.9;62.3;120.0
51;1760106336381;2025-10-10 17:25:36;77;779.2;116.9;62.3;120.0
52;1760106337381;2025-10-10 17:25:37;76;789.5;118.4;63.2;120.0
53;1760106338381;2025-10-10 17:25:38;76;789.5;118.4;63.2;120.0
54;1760106339381;2025-10-10 17:25:39;76;789.5;118.4;63.2;120.0
55;1760106340381;2025-10-10 17:25:40;76;789.5;118.4;63.2;120.0
56;1760106341381;2025-10-10 17:25:41;77;779.2;116.9;62.3;120.0
57;1760106342381;2025-10-10 17:25:42;78;769.2;115.4;61.5;120.0
58;1760106343381;2025-10-10 17:25:43;79;759.5;113.9;60.8;120.0
59;1760106344381;2025-10-10 17:25:44;80;750.0;112.5;60.0;180.0
60;1760106345381;2025-10-10 17:25:45;80;750.0;112.5;60.0;180.0
61;1760106346381;2025-10-10 17:25:46;80;750.0;112.5;60.0;180.0
62;1760106347381;2025-10-10 17:25:47;79;759.5;113.9;60.8;120.0
63;1760106348381;2025-10-10 17:25:48;79;759.5;113.9;60.8;120.0
64;1760106349381;2025-10-10 17:25:49;79;759.5;113.9;60.8;120.0
65;1760106350381;2025-10-10 17:25:50;79;759.5;113.9;60.8;120.0
66;1760106351381;2025-10-10 17:25:51;79;759.5;113.9;60.8;120.0
67;1760106352381;2025-10-10 17:25:52;78;769.2;115.4;61.5;120.0
68;1760106353381;2025-10-10 17:25:53;77;779.2;116.9;62.3;120.0
69;1760106354381;2025-10-10 17:25:54;76;789.5;118.4;63.2;120.0
70;1760106355381;2025-10-10 17:25:55;75;800.0;120.0;64.0;120.0
71;1760106356381;2025-10-10 17:25:56;75;800.0;120.0;64.0;120.0
72;1760106357381;2025-10-10 17:25:57;74;810.8;121.6;64.9;120.0
73;1760106358381;2025-10-10 17:25:58;74;810.8;121.6;64.9;120.0
74;1760106359381;2025-10-10 17:25:59;74;810.8;121.6;64.9;120.0
75;1760106360381;2025-10-10 17:26:00;74;810.8;121.6;64.9;120.0
76;1760106361381;2025-10-10 17:26:01;74;810.8;121.6;64.9;120.0
77;1760106362381;2025-10-10 17:26:02;73;821.9;123.3;65.8;120.0
78;1760106363381;2025-10-10 17:26:03;73;821.9;123.3;65.8;120.0
79;1760106364381;2025-10-10 17:26:04;72;833.3;125.0;66.7;120.0
80;1760106365381;2025-10-10 17:26:05;72;833.3;125.0;66.7;120.0
81;1760106366381;2025-10-10 17:26:06;72;833.3;125.0;66.7;120.0
82;1760106367381;2025-10-10 17:26:07;72;833.3;125.0;66.7;120.0
83;1760106368381;2025-10-10 17:26:08;72;833.3;125.0;66.7;120.0
84;1760106369381;2025-10-10 17:26:09;73;821.9;123.3;65.8;120.0
85;1760106370381;2025-10-10 17:26:10;73;821.9;123.3;65.8;120.0
86;1760106371381;2025-10-10 17:26:11;72;833.3;125.0;66.7;120.0
87;1760106372381;2025-10-10 17:26:12;72;833.3;125.0;66.7;120.0
88;1760106373381;2025-10-10 17:26:13;71;845.1;126.8;67.6;120.0
89;1760106374381;2025-10-10 17:26:14;71;845.1;126.8;67.6;120.0
90;1760106375381;2025-10-10 17:26:15;71;845.1;126.8;67.6;120.0
91;1760106376381;2025-10-10 17:26:16;71;845.1;126.8;67.6;120.0
92;1760106377381;2025-10-10 17:26:17;71;845.1;126.8;67.6;120.0
93;1760106378381;2025-10-10 17:26:18;72;833.3;125.0;66.7;120.0
94;1760106379381;2025-10-10 17:26:19;72;833.3;125.0;66.7;120.0
95;1760106380381;2025-10-10 17:26:20;72;833.3;125.0;66.7;120.0
96;1760106381381;2025-10-10 17:26:21;73;821.9;123.3;65.8;120.0
97;1760106382381;2025-10-10 17:26:22;74;810.8;121.6;64.9;120.0
98;1760106383381;2025-10-10 17:26:23;74;810.8;121.6;64.9;120.0
99;1760106384381;2025-10-10 17:26:24;74;810.8;121.6;64.9;120.0
100;1760106385381;2025-10-10 17:26:25;74;810.8;121.6;64.9;120.0
101;1760106386381;2025-10-10 17:26:26;74;810.8;121.6;64.9;120.0
102;1760106387381;2025-10-10 17:26:27;74;810.8;121.6;64.9;120.0
103;1760106388381;2025-10-10 17:26:28;74;810.8;121.6;64.9;120.0
104;1760106389381;2025-10-10 17:26:29;74;810.8;121.6;64.9;120.0
105;1760106390381;2025-10-10 17:26:30;74;810.8;121.6;64.9;120.0
106;1760106391381;2025-10-10 17:26:31;74;810.8;121.6;64.9;120.0
107;1760106392381;2025-10-10 17:26:32;73;821.9;123.3;65.8;120.0
108;1760106393381;2025-10-10 17:26:33;73;821.9;123.3;65.8;120.0
109;1760106394381;2025-10-10 17:26:34;73;821.9;123.3;65.8;120.0
110;1760106395381;2025-10-10 17:26:35;74;810.8;121.6;64.9;120.0
111;1760106396381;2025-10-10 17:26:36;75;800.0;120.0;64.0;120.0
112;1760106397381;2025-10-10 17:26:37;74;810.8;121.6;64.9;120.0
113;1760106398381;2025-10-10 17:26:38;74;810.8;121.6;64.9;120.0
114;1760106399381;2025-10-10 17:26:39;74;810.8;121.6;64.9;120.0
115;1760106400381;2025-10-10 17:26:40;74;810.8;121.6;64.9;120.0
116;1760106401381;2025-10-10 17:26:41;73;821.9;123.3;65.8;120.0
117;1760106402381;2025-10-10 17:26:42;73;821.9;123.3;65.8;120.0
118;1760106403381;2025-10-10 17:26:43;73;821.9;123.3;65.8;120.0
119;1760106404381;2025-10-10 17:26:44;74;810.8;121.6;64.9;120.0
120;1760106405381;2025-10-10 17:26:45;74;810.8;121.6;64.9;120.0
121;1760106406381;2025-10-10 17:26:46;74;810.8;121.6;64.9;120.0
122;1760106407381;2025-10-10 17:26:47;74;810.8;121.6;64.9;120.0
123;1760106408381;2025-10-10 17:26:48;74;810.8;121.6;64.9;120.0
124;1760106409381;2025-10-10 17:26:49;74;810.8;121.6;64.9;120.0
125;1760106410381;2025-10-10 17:26:50;73;821.9;123.3;65.8;120.0
126;1760106411381;2025-10-10 17:26:51;74;810.8;121.6;64.9;120.0
127;1760106412381;2025-10-10 17:26:52;74;810.8;121.6;64.9;120.0
128;1760106413381;2025-10-10 17:26:53;74;810.8;121.6;64.9;120.0
129;1760106414381;2025-10-10 17:26:54;74;810.8;121.6;64.9;120.0
130;1760106415381;2025-10-10 17:26:55;73;821.9;123.3;65.8;120.0
131;1760106416381;2025-10-10 17:26:56;72;833.3;125.0;66.7;120.0
132;1760106417381;2025-10-10 17:26:57;73;821.9;123.3;65.8;120.0
133;1760106418381;2025-10-10 17:26:58;73;821.9;123.3;65.8;120.0
134;1760106419381;2025-10-10 17:26:59;73;821.9;123.3;65.8;120.0
135;1760106420381;2025-10-10 17:27:00;74;810.8;121.6;64.9;120.0
136;1760106421381;2025-10-10 17:27:01;74;810.8;121.6;64.9;120.0
137;1760106422381;2025-10-10 17:27:02;74;810.8;121.6;64.9;120.0
138;1760106423381;2025-10-10 17:27:03;75;800.0;120.0;64.0;120.0
139;1760106424381;2025-10-10 17:27:04;75;800.0;120.0;64.0;120.0
140;1760106425381;2025-10-10 17:27:05;78;769.2;115.4;61.5;120.0
141;1760106426381;2025-10-10 17:27:06;80;750.0;112.5;60.0;180.0
142;1760106427381;2025-10-10 17:27:07;79;759.5;113.9;60.8;120.0
143;1760106428381;2025-10-10 17:27:08;78;769.2;115.4;61.5;120.0
144;1760106429381;2025-10-10 17:27:09;78;769.2;115.4;61.5;120.0
145;1760106430381;2025-10-10 17:27:10;77;779.2;116.9;62.3;120.0
146;1760106431381;2025-10-10 17:27:11;77;779.2;116.9;62.3;120.0
147;1760106432381;2025-10-10 17:27:12;76;789.5;118.4;63.2;120.0
148;1760106433381;2025-10-10 17:27:13;76;789.5;118.4;63.2;120.0
149;1760106434381;2025-10-10 17:27:14;75;800.0;120.0;64.0;120.0
150;1760106435381;2025-10-10 17:27:15;74;810.8;121.6;64.9;120.0
151;1760106436381;2025-10-10 17:27:16;74;810.8;121.6;64.9;120.0
152;1760106437381;2025-10-10 17:27:17;73;821.9;123.3;65.8;120.0
153;1760106438381;2025-10-10 17:27:18;73;821.9;123.3;65.8;120.0
154;1760106439381;2025-10-10 17:27:19;74;810.8;121.6;64.9;120.0
155;1760106440381;2025-10-10 17:27:20;74;810.8;121.6;64.9;120.0
156;1760106441381;2025-10-10 17:27:21;74;810.8;121.6;64.9;120.0
157;1760106442381;2025-10-10 17:27:22;74;810.8;121.6;64.9;120.0
158;1760106443381;2025-10-10 17:27:23;74;810.8;121.6;64.9;120.0
159;1760106444381;2025-10-10 17:27:24;74;810.8;121.6;64.9;120.0
160;1760106445381;2025-10-10 17:27:25;73;821.9;123.3;65.8;120.0
161;1760106446381;2025-10-10 17:27:26;73;821.9;123.3;65.8;120.0
162;1760106447381;2025-10-10 17:27:27;72;833.3;125.0;66.7;120.0
163;1760106448381;2025-10-10 17:27:28;72;833.3;125.0;66.7;120.0
164;1760106449381;2025-10-10 17:27:29;72;833.3;125.0;66.7;120.0
165;1760106450381;2025-10-10 17:27:30;73;821.9;123.3;65.8;120.0
166;1760106451381;2025-10-10 17:27:31;72;833.3;125.0;66.7;120.0
167;1760106452381;2025-10-10 17:27:32;72;833.3;125.0;66.7;120.0
168;1760106453381;2025-10-10 17:27:33;71;845.1;126.8;67.6;120.0
169;1760106454381;2025-10-10 17:27:34;71;845.1;126.8;67.6;120.0
170;1760106455381;2025-10-10 17:27:35;71;845.1;126.8;67.6;120.0
171;1760106456381;2025-10-10 17:27:36;71;845.1;126.8;67.6;120.0
172;1760106457381;2025-10-10 17:27:37;71;845.1;126.8;67.6;120.0
173;1760106458381;2025-10-10 17:27:38;72;833.3;125.0;66.7;120.0
174;1760106459381;2025-10-10 17:27:39;72;833.3;125.0;66.7;120.0
175;1760106460381;2025-10-10 17:27:40;73;821.9;123.3;65.8;120.0
176;1760106461381;2025-10-10 17:27:41;73;821.9;123.3;65.8;120.0
177;1760106462381;2025-10-10 17:27:42;73;821.9;123.3;65.8;120.0
178;1760106463381;2025-10-10 17:27:43;72;833.3;125.0;66.7;120.0
179;1760106464381;2025-10-10 17:27:44;73;821.9;123.3;65.8;120.0
180;1760106465381;2025-10-10 17:27:45;73;821.9;123.3;65.8;120.0
181;1760106466381;2025-10-10 17:27:46;74;810.8;121.6;64.9;120.0
182;1760106467381;2025-10-10 17:27:47;75;800.0;120.0;64.0;120.0
183;1760106468381;2025-10-10 17:27:48;76;789.5;118.4;63.2;120.0
184;1760106469381;2025-10-10 17:27:49;78;769.2;115.4;61.5;120.0
185;1760106470381;2025-10-10 17:27:50;79;759.5;113.9;60.8;120.0
186;1760106471381;2025-10-10 17:27:51;79;759.5;113.9;60.8;120.0
187;1760106472381;2025-10-10 17:27:52;79;759.5;113.9;60.8;120.0
188;1760106473381;2025-10-10 17:27:53;79;759.5;113.9;60.8;120.0
189;1760106474381;2025-10-10 17:27:54;80;750.0;112.5;60.0;180.0
190;1760106475381;2025-10-10 17:27:55;80;750.0;112.5;60.0;180.0
191;1760106476381;2025-10-10 17:27:56;80;750.0;112.5;60.0;180.0
192;1760106477381;2025-10-10 17:27:57;80;750.0;112.5;60.0;180.0
193;1760106478381;2025-10-10 17:27:58;81;740.7;111.1;59.3;180.0
194;1760106479381;2025-10-10 17:27:59;82;731.7;109.8;58.5;180.0
195;1760106480381;2025-10-10 17:28:00;83;722.9;108.4;57.8;180.0
196;1760106481381;2025-10-10 17:28:01;83;722.9;108.4;57.8;180.0
197;1760106482381;2025-10-10 17:28:02;83;722.9;108.4;57.8;180.0
198;1760106483381;2025-10-10 17:28:03;82;731.7;109.8;58.5;180.0
199;1760106484381;2025-10-10 17:28:04;82;731.7;109.8;58.5;180.0
200;1760106485381;2025-10-10 17:28:05;81;740.7;111.1;59.3;180.0
201;1760106486381;2025-10-10 17:28:06;81;740.7;111.1;59.3;180.0
202;1760106487381;2025-10-10 17:28:07;80;750.0;112.5;60.0;180.0
203;1760106488381;2025-10-10 17:28:08;79;759.5;113.9;60.8;120.0
204;1760106489381;2025-10-10 17:28:09;78;769.2;115.4;61.5;120.0
205;1760106490381;2025-10-10 17:28:10;78;769.2;115.4;61.5;120.0
206;1760106491381;2025-10-10 17:28:11;77;779.2;116.9;62.3;120.0
207;1760106492381;2025-10-10 17:28:12;76;789.5;118.4;63.2;120.0
208;1760106493381;2025-10-10 17:28:13;76;789.5;118.4;63.2;120.0
209;1760106494381;2025-10-10 17:28:14;75;800.0;120.0;64.0;120.0
210;1760106495381;2025-10-10 17:28:15;74;810.8;121.6;64.9;120.0
211;1760106496381;2025-10-10 17:28:16;74;810.8;121.6;64.9;120.0
212;1760106497381;2025-10-10 17:28:17;74;810.8;121.6;64.9;120.0
213;1760106498381;2025-10-10 17:28:18;74;810.8;121.6;64.9;120.0
214;1760106499381;2025-10-10 17:28:19;74;810.8;121.6;64.9;120.0
215;1760106500381;2025-10-10 17:28:20;74;810.8;121.6;64.9;120.0
216;1760106501381;2025-10-10 17:28:21;74;810.8;121.6;64.9;120.0
217;1760106502381;2025-10-10 17:28:22;75;800.0;120.0;64.0;120.0
218;1760106503381;2025-10-10 17:28:23;75;800.0;120.0;64.0;120.0
219;1760106504381;2025-10-10 17:28:24;75;800.0;120.0;64.0;120.0
220;1760106505381;2025-10-10 17:28:25;74;810.8;121.6;64.9;120.0
221;1760106506381;2025-10-10 17:28:26;74;810.8;121.6;64.9;120.0
222;1760106507381;2025-10-10 17:28:27;74;810.8;121.6;64.9;120.0
223;1760106508381;2025-10-10 17:28:28;73;821.9;123.3;65.8;120.0
224;1760106509381;2025-10-10 17:28:29;72;833.3;125.0;66.7;120.0
225;1760106510381;2025-10-10 17:28:30;71;845.1;126.8;67.6;120.0
226;1760106511381;2025-10-10 17:28:31;71;845.1;126.8;67.6;120.0
227;1760106512381;2025-10-10 17:28:32;70;857.1;128.6;68.6;120.0
228;1760106513381;2025-10-10 17:28:33;70;857.1;128.6;68.6;120.0
229;1760106514381;2025-10-10 17:28:34;70;857.1;128.6;68.6;120.0
230;1760106515381;2025-10-10 17:28:35;71;845.1;126.8;67.6;120.0
231;1760106516381;2025-10-10 17:28:36;71;845.1;126.8;67.6;120.0
232;1760106517381;2025-10-10 17:28:37;71;845.1;126.8;67.6;120.0
233;1760106518381;2025-10-10 17:28:38;72;833.3;125.0;66.7;120.0
234;1760106519381;2025-10-10 17:28:39;72;833.3;125.0;66.7;120.0
235;1760106520381;2025-10-10 17:28:40;72;833.3;125.0;66.7;120.0
236;1760106521381;2025-10-10 17:28:41;73;821.9;123.3;65.8;120.0
237;1760106522381;2025-10-10 17:28:42;73;821.9;123.3;65.8;120.0
238;1760106523381;2025-10-10 17:28:43;74;810.8;121.6;64.9;120.0
239;1760106524381;2025-10-10 17:28:44;75;800.0;120.0;64.0;120.0
240;1760106525381;2025-10-10 17:28:45;76;789.5;118.4;63.2;120.0
241;1760106526381;2025-10-10 17:28:46;77;779.2;116.9;62.3;120.0
242;1760106527381;2025-10-10 17:28:47;77;779.2;116.9;62.3;120.0
243;1760106528381;2025-10-10 17:28:48;77;779.2;116.9;62.3;120.0
244;1760106529381;2025-10-10 17:28:49;77;779.2;116.9;62.3;120.0
245;1760106530381;2025-10-10 17:28:50;77;779.2;116.9;62.3;120.0
246;1760106531381;2025-10-10 17:28:51;76;789.5;118.4;63.2;120.0
247;1760106532381;2025-10-10 17:28:52;75;800.0;120.0;64.0;120.0
248;1760106533381;2025-10-10 17:28:53;74;810.8;121.6;64.9;120.0
249;1760106534381;2025-10-10 17:28:54;74;810.8;121.6;64.9;120.0
250;1760106535381;2025-10-10 17:28:55;73;821.9;123.3;65.8;120.0
251;1760106536381;2025-10-10 17:28:56;73;821.9;123.3;65.8;120.0
252;1760106537381;2025-10-10 17:28:57;73;821.9;123.3;65.8;120.0
253;1760106538381;2025-10-10 17:28:58;72;833.3;125.0;66.7;120.0
254;1760106539381;2025-10-10 17:28:59;72;833.3;125.0;66.7;120.0
255;1760106540381;2025-10-10 17:29:00;72;833.3;125.0;66.7;120.0
256;1760106541381;2025-10-10 17:29:01;72;833.3;125.0;66.7;120.0
257;1760106542381;2025-10-10 17:29:02;71;845.1;126.8;67.6;120.0
258;1760106543381;2025-10-10 17:29:03;71;845.1;126.8;67.6;120.0
259;1760106544381;2025-10-10 17:29:04;72;833.3;125.0;66.7;120.0
260;1760106545381;2025-10-10 17:29:05;73;821.9;123.3;65.8;120.0
261;1760106546381;2025-10-10 17:29:06;74;810.8;121.6;64.9;120.0
262;1760106547381;2025-10-10 17:29:07;74;810.8;121.6;64.9;120.0
263;1760106548381;2025-10-10 17:29:08;75;800.0;120.0;64.0;120.0
264;1760106549381;2025-10-10 17:29:09;75;800.0;120.0;64.0;120.0
265;1760106550381;2025-10-10 17:29:10;76;789.5;118.4;63.2;120.0
266;1760106551381;2025-10-10 17:29:11;75;800.0;120.0;64.0;120.0
267;1760106552381;2025-10-10 17:29:12;75;800.0;120.0;64.0;120.0
268;1760106553381;2025-10-10 17:29:13;74;810.8;121.6;64.9;120.0
269;1760106554381;2025-10-10 17:29:14;73;821.9;123.3;65.8;120.0
270;1760106555381;2025-10-10 17:29:15;74;810.8;121.6;64.9;120.0
271;1760106556381;2025-10-10 17:29:16;74;810.8;121.6;64.9;120.0
272;1760106557381;2025-10-10 17:29:17;75;800.0;120.0;64.0;120.0
273;1760106558381;2025-10-10 17:29:18;75;800.0;120.0;64.0;120.0
274;1760106559381;2025-10-10 17:29:19;74;810.8;121.6;64.9;120.0
275;1760106560381;2025-10-10 17:29:20;74;810.8;121.6;64.9;120.0
276;1760106561381;2025-10-10 17:29:21;74;810.8;121.6;64.9;120.0
277;1760106562381;2025-10-10 17:29:22;74;810.8;121.6;64.9;120.0
278;1760106563381;2025-10-10 17:29:23;74;810.8;121.6;64.9;120.0
279;1760106564381;2025-10-10 17:29:24;73;821.9;123.3;65.8;120.0
280;1760106565381;2025-10-10 17:29:25;73;821.9;123.3;65.8;120.0
281;1760106566381;2025-10-10 17:29:26;73;821.9;123.3;65.8;120.0
282;1760106567381;2025-10-10 17:29:27;74;810.8;121.6;64.9;120.0
283;1760106568381;2025-10-10 17:29:28;75;800.0;120.0;64.0;120.0
284;1760106569381;2025-10-10 17:29:29;76;789.5;118.4;63.2;120.0
285;1760106570381;2025-10-10 17:29:30;78;769.2;115.4;61.5;120.0
286;1760106571381;2025-10-10 17:29:31;80;750.0;112.5;60.0;180.0
287;1760106572381;2025-10-10 17:29:32;81;740.7;111.1;59.3;180.0
288;1760106573381;2025-10-10 17:29:33;83;722.9;108.4;57.8;180.0
289;1760106574381;2025-10-10 17:29:34;84;714.3;107.1;57.1;180.0
290;1760106575381;2025-10-10 17:29:35;85;705.9;105.9;56.5;180.0
291;1760106576381;2025-10-10 17:29:36;86;697.7;104.7;55.8;180.0
292;1760106577381;2025-10-10 17:29:37;87;689.7;103.4;55.2;180.0
293;1760106578381;2025-10-10 17:29:38;87;689.7;103.4;55.2;180.0
294;1760106579381;2025-10-10 17:29:39;87;689.7;103.4;55.2;180.0
295;1760106580381;2025-10-10 17:29:40;87;689.7;103.4;55.2;180.0
296;1760106581381;2025-10-10 17:29:41;87;689.7;103.4;55.2;180.0
297;1760106582381;2025-10-10 17:29:42;87;689.7;103.4;55.2;180.0
298;1760106583381;2025-10-10 17:29:43;86;697.7;104.7;55.8;180.0
299;1760106584381;2025-10-10 17:29:44;85;705.9;105.9;56.5;180.0


--- HRV METRICS ---
Metric;Value;Unit
Measurement_Duration;300;seconds
Device;Polar Verity Sense;
RMSSD;7.4;ms
SDNN;34.1;ms
pNN50;0.0;%
Mean_RR;796.9;ms
Mean_HR;75.3;bpm
LF_Power;66021617;ms2
HF_Power;93676281;ms2
LF_HF_Ratio;0.70;
DFA_Alpha1;1.761;
DFA_Alpha2;1.080;
Sample_Entropy;0.757;
Stress_Index;328.6;
Readiness_Score;53.0;%
HRV_Overall;100.0;
Biological_Age;32.9;years
SD1;5.3;ms
SD2;47.6;ms
